song,artist,year,genre,numUnique,totalWords,love_words,god_words,dance_words,cool_words,rock_words,swear_words,cw1,cwc1,cw2,cwc2,cw3,cwc3,cw4,cwc4,cw5,cwc5
Your Best American Girl,Mitski,2016,pop,87,200,0,0,0,0,0,0,mother,6,american,4,approve,3,raised,3,think,3
Autobahn,Kraftwerk,1974,rock,46,473,0,0,0,0,0,0,fahr,123,autobahn,53,liegt,1,weites,1,tal,1
My Girls,Animal Collective,2009,rock,64,625,0,0,0,0,0,0,father,19,grave,19,like,13,much,9,feel,9
Eleanor Rigby,The Beatles,1966,rock,86,210,0,0,0,0,0,0,lonely,12,people,12,look,7,ah,6,belong,3
Get It On [Bang a Gong (Get It On)],T. Rex,1971,rock,204,693,5,0,1,0,4,0,truck,17,yeah,14,oh,9,baby,8,well,8
There She Goes,The La's,1988,rock,39,131,0,0,0,0,0,0,goes,12,blows,5,contain,4,feelin,4,remains,4
Help!,The Beatles,1965,rock,80,246,0,0,0,0,0,0,help,17,please,6,younger,4,need,3,anybody,3
House of Jealous Lovers,The Rapture,2002,rock,24,70,1,0,0,0,0,0,house,9,jealous,9,lovers,8,shakedown,3,hand,2
Last Nite,The Strokes,2001,rock,78,220,0,0,0,0,0,0,oh,10,understand,8,feel,7,baby,6,night,4
Le Freak,Chic,1978,rock,95,268,0,0,1,0,0,0,freak,27,ah,7,chic,7,like,3,us,2
Won't Get Fooled Again,The Who,1971,rock,130,329,0,0,0,0,0,0,get,8,new,7,smile,4,change,4,like,4
In My Life,The Beatles,1965,rock,68,155,5,0,0,0,0,0,life,5,love,4,know,4,though,3,lose,3
Hurt,Johnny Cash,2002,country,88,167,0,0,0,0,0,0,away,4,hurt,3,could,3,still,2,become,2
Ms. Jackson,OutKast,2000,hip hop,258,728,3,0,0,1,0,5,ms,12,jackson,12,never,12,daughter,11,times,11
Walk On By,Dionne Warwick,1964,easy listening,64,243,0,0,0,0,0,0,walk,18,stop,12,tears,5,cry,4,see,4
Folsom Prison Blues,Johnny Cash,1955,country,113,192,0,0,0,0,0,0,train,3,know,3,prison,3,hear,2,folsom,2
Sign 'O' the Times,Prince,1987,r&b,157,263,1,0,0,0,0,0,time,13,oh,4,baby,3,fly,3,truly,3
Bad Guy,Billie Eilish,2019,pop,125,299,0,0,0,0,0,0,guy,16,bad,13,like,6,type,6,make,4
Teenage Kicks,The Undertones,1978,rock,58,206,0,0,0,0,0,0,wan,10,hold,10,right,8,teenage,7,tight,5
This Is America,Childish Gambino,2018,hip hop,136,660,0,0,2,0,0,0,yeah,62,black,30,get,25,ooh,18,money,17
Blowin' in the Wind,Bob Dylan,1963,folk,79,192,0,0,0,0,0,0,many,10,yes,7,answer,6,blowin,6,must,5
