album|track|artist|year|id|reasonFail
Geogaddi|3|Boards of Canada|2002|1636|too_few_lyrics
Geogaddi|9|Boards of Canada|2002|1636|too_few_lyrics
Geogaddi|12|Boards of Canada|2002|1636|too_few_lyrics
Geogaddi|13|Boards of Canada|2002|1636|too_few_lyrics
Geogaddi|15|Boards of Canada|2002|1636|too_few_lyrics
Geogaddi|18|Boards of Canada|2002|1636|too_few_lyrics
Geogaddi|20|Boards of Canada|2002|1636|too_few_lyrics
Geogaddi|22|Boards of Canada|2002|1636|too_few_lyrics
Geogaddi|23|Boards of Canada|2002|1636|too_few_lyrics
Liquid Swords|14|Genius/GZA|1995|1608|too_few_lyrics
Art Blakey and The Jazz Messengers [Moanin']|0|Art Blakey & The Jazz Messengers|1959|1835|not_found
Porgy and Bess|1|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|2|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|3|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|4|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|5|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|6|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|7|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|8|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|9|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|10|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|11|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|12|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|13|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|14|Miles Davis|1959|1841|too_few_lyrics
Porgy and Bess|15|Miles Davis|1959|1841|too_few_lyrics
Moving Pictures|3|Rush|1981|1471|too_few_lyrics
Neon Golden|11|The Notwist|2002|1649|too_few_lyrics
Neon Golden|13|The Notwist|2002|1649|too_few_lyrics
Neon Golden|14|The Notwist|2002|1649|too_few_lyrics
13|13|Blur|1999|1060|too_few_lyrics
Mirrored|1|Battles|2007|4241|too_few_lyrics
Mirrored|4|Battles|2007|4241|too_few_lyrics
Mirrored|5|Battles|2007|4241|too_few_lyrics
Mirrored|8|Battles|2007|4241|too_few_lyrics
Mirrored|9|Battles|2007|4241|too_few_lyrics
Mirrored|10|Battles|2007|4241|too_few_lyrics
Mirrored|11|Battles|2007|4241|too_few_lyrics
Mirrored|12|Battles|2007|4241|too_few_lyrics
Paul Simon|9|Paul Simon|1972|259|too_few_lyrics
Bossanova|1|Pixies|1990|789|too_few_lyrics
Settle|10|Disclosure|2013|5297|too_few_lyrics
And Then Nothing Turned Itself Inside Out|12|Yo La Tengo|2000|1093|too_few_lyrics
Speak No Evil|1|Wayne Shorter|1966|1949|too_few_lyrics
Speak No Evil|2|Wayne Shorter|1966|1949|too_few_lyrics
Speak No Evil|3|Wayne Shorter|1966|1949|too_few_lyrics
Speak No Evil|4|Wayne Shorter|1966|1949|too_few_lyrics
Speak No Evil|5|Wayne Shorter|1966|1949|too_few_lyrics
Speak No Evil|6|Wayne Shorter|1966|1949|too_few_lyrics
Richard D. James Album|1|Aphex Twin|1996|1614|too_few_lyrics
Richard D. James Album|2|Aphex Twin|1996|1614|too_few_lyrics
Richard D. James Album|3|Aphex Twin|1996|1614|too_few_lyrics
Richard D. James Album|4|Aphex Twin|1996|1614|too_few_lyrics
Richard D. James Album|5|Aphex Twin|1996|1614|too_few_lyrics
Richard D. James Album|7|Aphex Twin|1996|1614|too_few_lyrics
Richard D. James Album|8|Aphex Twin|1996|1614|too_few_lyrics
Richard D. James Album|9|Aphex Twin|1996|1614|too_few_lyrics
Richard D. James Album|10|Aphex Twin|1996|1614|too_few_lyrics
Hurry Up, We're Dreaming|4|M83|2011|5157|too_few_lyrics
Hurry Up, We're Dreaming|7|M83|2011|5157|too_few_lyrics
Hurry Up, We're Dreaming|10|M83|2011|5157|too_few_lyrics
Hurry Up, We're Dreaming|17|M83|2011|5157|too_few_lyrics
Hurry Up, We're Dreaming|18|M83|2011|5157|too_few_lyrics
Hurry Up, We're Dreaming|21|M83|2011|5157|too_few_lyrics
Ragged Glory|0|Neil Young and Crazy Horse|1990|781|not_found
Roots|11|Sepultura|1996|988|too_few_lyrics
Roots|12|Sepultura|1996|988|too_few_lyrics
Roots|16|Sepultura|1996|988|too_few_lyrics
One Step Beyond...|11|Madness|1979|469|too_few_lyrics
Music for the Masses|10|Depeche Mode|1987|1520|too_few_lyrics
Music for the Masses|11|Depeche Mode|1987|1520|too_few_lyrics
Music for the Masses|12|Depeche Mode|1987|1520|too_few_lyrics
Music for the Masses|18|Depeche Mode|1987|1520|too_few_lyrics
Music for the Masses|19|Depeche Mode|1987|1520|too_few_lyrics
Teens of Denial|13|Car Seat Headrest|2016|5705|too_few_lyrics
Master of Reality|3|Black Sabbath|1971|1348|too_few_lyrics
Master of Reality|5|Black Sabbath|1971|1348|too_few_lyrics
Here, My Dear|10|Marvin Gaye|1978|438|too_few_lyrics
Gris-Gris|2|Dr. John|1968|142|too_few_lyrics
Gris-Gris|4|Dr. John|1968|142|too_few_lyrics
Gris-Gris|5|Dr. John|1968|142|too_few_lyrics
If I Should Fall from Grace with God|5|The Pogues|1988|744|too_few_lyrics
If I Should Fall from Grace with God|12|The Pogues|1988|744|too_few_lyrics
Malibu|17|Anderson .Paak|2016|5691|too_few_lyrics
The Angry Young Them/Them (featuring Here Comes the Night)|0|Them|1965|42|not_found
A Wizard, a True Star|3|Todd Rundgren|1973|284|too_few_lyrics
A Wizard, a True Star|8|Todd Rundgren|1973|284|too_few_lyrics
Truth|6|Jeff Beck|1968|148|too_few_lyrics
Truth|8|Jeff Beck|1968|148|too_few_lyrics
River Deep - Mountain High|0|Ike and Tina Turner|1966|88|not_found
Young Team|2|Mogwai|1997|3661|too_few_lyrics
Young Team|3|Mogwai|1997|3661|too_few_lyrics
Young Team|4|Mogwai|1997|3661|too_few_lyrics
Young Team|6|Mogwai|1997|3661|too_few_lyrics
Young Team|7|Mogwai|1997|3661|too_few_lyrics
Young Team|10|Mogwai|1997|3661|too_few_lyrics
Young Team|11|Mogwai|1997|3661|too_few_lyrics
The Seer|6|Swans|2012|5240|too_few_lyrics
Orbital ["The Brown Album"]|0|Orbital|1993|891|not_found
C'Est Chic|3|Chic|1978|1440|too_few_lyrics
Endless Summer|1|Fennesz|2001|3882|too_few_lyrics
Endless Summer|2|Fennesz|2001|3882|too_few_lyrics
Endless Summer|3|Fennesz|2001|3882|too_few_lyrics
Endless Summer|4|Fennesz|2001|3882|too_few_lyrics
Endless Summer|5|Fennesz|2001|3882|too_few_lyrics
Endless Summer|6|Fennesz|2001|3882|too_few_lyrics
Endless Summer|7|Fennesz|2001|3882|too_few_lyrics
Endless Summer|8|Fennesz|2001|3882|too_few_lyrics
Endless Summer|9|Fennesz|2001|3882|too_few_lyrics
Endless Summer|10|Fennesz|2001|3882|too_few_lyrics
Heavy Weather|1|Weather Report|1977|2025|too_few_lyrics
Heavy Weather|2|Weather Report|1977|2025|too_few_lyrics
Heavy Weather|4|Weather Report|1977|2025|too_few_lyrics
Heavy Weather|6|Weather Report|1977|2025|too_few_lyrics
Heavy Weather|7|Weather Report|1977|2025|too_few_lyrics
Heavy Weather|8|Weather Report|1977|2025|too_few_lyrics
